% Model:              broken_cubic_case.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 15 2024, 13:43
% Dimension:          1
% Nodes:              97
% Expressions:        1
% Description:        Global
% freq (Hz)               Value
80                        0.002675518294496316
100                       0.003440538124337984
120                       0.004195658523713314
140                       0.004969572708743799
160                       0.005767615273696098
180                       0.006591503405855138
200                       0.007447066624578098
220                       0.008345603467726549
240                       0.00930308877513816
260                       0.010339164567121988
280                       0.011476533595994433
300                       0.012740816148138696
320                       0.014160752506438118
340                       0.015768609321538073
360                       0.017600671464799298
380                       0.019697729726247653
400                       0.022105496547567206
420                       0.02487489697816931
440                       0.028062195821194593
460                       0.031728941982711784
480                       0.035941745340331184
500                       0.04077195596315704
520                       0.04629539105671454
540                       0.052592342467903314
560                       0.05974817449220122
580                       0.06785485355542682
600                       0.07701370057055432
620                       0.0873395024411235
640                       0.09896587589242684
660                       0.11205150464227723
680                       0.1267866569296331
700                       0.14339930930998518
720                       0.16216027418512727
740                       0.18338690278101466
760                       0.20744511529425008
780                       0.23474960055912197
800                       0.26576197580123867
820                       0.30098650516682984
840                       0.34096268815105113
860                       0.38625370889649935
880                       0.4374294505533431
900                       0.49504259605119816
920                       0.559596341848172
940                       0.6315025574700307
960                       0.7110299716118631
980                       0.7982433048982441
1000                      0.8929363034105603
1020                      0.9945643210059603
1040                      1.1021851605336912
1060                      1.2144196610387619
1080                      1.3294449821210266
1100                      1.4450324663343928
1120                      1.558637377914181
1140                      1.6675396032562875
1160                      1.7690238308158723
1180                      1.860577508502631
1200                      1.9400783900372571
1220                      2.005943407977425
1240                      2.057217567046743
1260                      2.0935935939732913
1280                      2.115366472013137
1300                      2.12333782718957
1320                      2.118690910608502
1340                      2.1028572109884616
1360                      2.077391848572543
1380                      2.0438689540836803
1400                      2.0038021911145467
1420                      1.9585907173734005
1440                      1.9094877022209387
1460                      1.8575869439212944
1480                      1.803822774862325
1500                      1.7489788512978401
1520                      1.693702204368486
1540                      1.6385198066008055
1560                      1.5838557212944686
1580                      1.5300475761459664
1600                      1.477361619303943
1620                      1.426005987692441
1640                      1.3761420697843554
1660                      1.3278940059471676
1680                      1.2813564644752258
1700                      1.2366008810040803
1720                      1.1936803685862798
1740                      1.152633506400731
1760                      1.1134872044266027
1780                      1.0762588243798017
1800                      1.0409577170003639
1820                      1.0075863143916746
1840                      0.9761408947987005
1860                      0.9466121167356703
1880                      0.918985400295813
1900                      0.8932412161044843
1920                      0.8693553269591865
1940                      0.8472990138809243
1960                      0.8270393071203226
1980                      0.8085392336053635
2000                      0.7917580852802375
